match_id,stage,group_id,round,player1_id,player2_id,scheduled_time,status,winner_id,score
1,group,1,1,1001,1004,2025-05-22 15:09,completed,1004,0-1
2,group,1,1,1002,1003,2025-05-22 15:09,completed,1003,0-1
3,group,2,1,1005,1008,2025-05-22 15:09,completed,1008,0-1
4,group,2,1,1006,1007,2025-05-22 15:09,completed,1007,0-1
5,group,3,1,1011,1010,2025-05-22 15:09,completed,1011,1-0
6,group,3,1,1012,1009,2025-05-22 15:09,completed,1009,0-1
7,group,4,1,1013,1016,2025-05-22 15:09,completed,1013,1-0
8,group,4,1,1014,1015,2025-05-22 15:09,completed,1014,1-0
9,group,1,2,1004,1003,2025-05-22 15:09,completed,1003,0-1
10,group,2,2,1008,1007,2025-05-22 15:09,completed,1007,0-1
11,group,3,2,1011,1009,2025-05-22 15:09,completed,1011,1-0
12,group,4,2,1013,1014,2025-05-22 15:09,completed,1014,0-1
13,knockout,0,1,1003,1007,2025-05-22 15:10,completed,1003,1-0
14,knockout,0,1,1011,1014,2025-05-22 15:10,completed,1014,0-1
15,knockout,0,2,1003,1014,2025-05-22 15:10,completed,1003,1-0
