bracket_id,stage,player_id,group_id,rank,status
1,group,1001,1,A,active
2,group,1002,1,A,active
3,group,1003,1,A,active
4,group,1004,1,A,active
5,group,1005,2,B,active
6,group,1006,2,B,active
7,group,1007,2,B,active
8,group,1008,2,B,active
9,group,1009,3,C,active
10,group,1010,3,C,active
11,group,1011,3,C,active
12,group,1012,3,C,active
13,group,1013,4,D,active
14,group,1014,4,D,active
15,group,1015,4,D,active
16,group,1016,4,D,active
17,knockout,1003,1,A,advanced
18,knockout,1007,2,B,advanced
19,knockout,1011,3,C,advanced
20,knockout,1014,4,D,advanced
